Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
CO2 emissions (kt),EN.ATM.CO2E.KT,Kenya,KEN,10417.947,9369.185,7968.391,6754.614,7623.693,8562.445,9574.537,9831.227,10241.931,12350.456,12174.44,13457.89,12515.471,13300.209,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kiribati,KIR,33.003,25.669,40.337,40.337,44.004,62.339,69.673,51.338,55.005,40.337,62.339,62.339,62.339,62.339,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Dem. People’s Rep.",PRK,69661.999,72225.232,69229.293,70751.098,72357.244,75573.203,76900.657,64227.505,71132.466,70677.758,66600.054,48133.042,49112.131,50091.22,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Rep.",KOR,447561.017,450193.923,465631.993,466215.046,482276.506,462922.08,470655.783,495675.724,507589.807,508862.256,566716.515,589400.577,584079.76,592499.192,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kosovo,XKX,,,,,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kuwait,KWT,53560.202,57641.573,58228.293,59922.447,63534.442,71546.837,73769.039,75235.839,82731.187,87303.936,89625.147,91029.608,101146.861,97960.238,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kyrgyz Republic,KGZ,4635.088,3894.354,4957.784,5438.161,5874.534,5390.49,5309.816,5672.849,7660.363,6791.284,6384.247,7656.696,10120.92,9842.228,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Lao PDR,LAO,938.752,872.746,1151.438,1100.1,1393.46,1404.461,1551.141,909.416,946.086,1257.781,1639.149,1624.481,2159.863,2174.531,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Latvia,LVA,6351.244,6985.635,6912.295,7370.67,7403.673,7506.349,8012.395,8316.756,7902.385,7231.324,8074.734,7300.997,7062.642,7080.977,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Lebanon,LBN,15247.386,16171.47,16002.788,18180.986,16798.527,16208.14,14458.981,13483.559,17231.233,20879.898,20054.823,20450.859,22640.058,22581.386,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Lesotho,LSO,,,,,,1419.129,1444.798,1474.134,2082.856,2112.192,2258.872,2200.2,2222.202,2295.542,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Liberia,LBR,425.372,495.045,491.378,524.381,616.056,729.733,748.068,671.061,564.718,517.047,795.739,894.748,1030.427,957.087,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Libya,LBY,47113.616,48100.039,47832.348,49167.136,50358.911,52108.07,53270.509,49959.208,55459.708,58660.999,61348.91,39390.914,52397.763,51040.973,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Liechtenstein,LIE,,,,,,,,62.339,62.339,51.338,55.005,47.671,47.671,51.338,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Lithuania,LTU,12163.439,12885.838,13142.528,12823.499,13245.204,13901.597,14158.287,15166.712,15009.031,12519.138,13468.891,13787.92,13831.924,12640.149,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Luxembourg,LUX,8239.749,8800.8,9416.856,9904.567,11268.691,11547.383,11349.365,11019.335,10938.661,10392.278,10967.997,10938.661,10663.636,10161.257,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Macao SAR, China",MAC,1635.482,1686.82,1525.472,1536.473,1727.157,1837.167,1631.815,1543.807,2291.875,2647.574,1983.847,2357.881,2273.54,2167.197,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Macedonia, FYR",MKD,12064.43,11998.424,10934.994,11309.028,11191.684,11279.692,10938.661,9493.863,9402.188,8698.124,8602.782,9387.52,8962.148,8294.754,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Madagascar,MDG,1873.837,1741.825,1235.779,1701.488,1807.831,1741.825,1683.153,1815.165,1888.505,1771.161,1958.178,2313.877,2665.909,3076.613,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Malawi,MWI,894.748,891.081,883.747,957.087,975.422,916.75,953.42,938.752,1096.433,1004.758,1191.775,1188.108,1129.436,1272.449,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Malaysia,MYS,125734.096,135620.328,133742.824,158256.719,163826.892,174486.861,167702.911,184816.8,204031.88,198802.738,218476.193,220405.035,218707.214,236510.499,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Maldives,MDV,451.041,462.042,594.054,506.046,667.394,601.388,759.069,781.071,843.41,883.747,898.415,953.42,1078.098,1048.762,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Mali,MLI,821.408,828.742,847.077,843.41,876.413,898.415,942.419,1008.425,1070.764,806.74,964.421,1045.095,993.757,1026.76,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Malta,MLT,2064.521,2486.226,2299.209,2581.568,2574.234,2698.912,2574.234,2724.581,2559.566,2398.218,2526.563,2519.229,2665.909,2218.535,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Marshall Islands,MHL,77.007,80.674,84.341,84.341,88.008,84.341,91.675,99.009,99.009,102.676,102.676,102.676,102.676,102.676,,
